,names_doingbusiness,keep_row,ID,LATITUDE,LONGITUDE,LOCATION,year
201,arturo express,1,53931-20200916,41.879616268,-87.639764523,"(41.87961626801739, -87.63976452343368)",2020.0
840,social junkie,1,2551384-20171214,41.950347693,-87.807329446,"(41.95034769269968, -87.80732944580947)",2017.0
1223,social junkie,1,2551384-20191216,41.950347693,-87.807329446,"(41.95034769269968, -87.80732944580947)",2019.0
2027,lutz continental cafe & pastry shop,1,1356917-20201216,41.961408694,-87.690796243,"(41.96140869447139, -87.6907962429884)",2020.0
2251,gaslight coffee roasters,1,2185009-20201016,41.924668247,-87.699992361,"(41.92466824748827, -87.69999236109766)",2020.0
2269,dollop coffee company,1,2189332-20210116,41.892518301,-87.618502427,"(41.89251830082217, -87.61850242693725)",2021.0
2879,madison foods and fish market inc.,1,2766573-20210111,41.880804615,-87.711375496,"(41.8808046152, -87.71137549591673)",2021.0
2910,jansons drive in,1,2766871-20210112,41.713569899,-87.681985722,"(41.71356989935203, -87.68198572204422)",2021.0
2927,ipsento coffee,1,2379714-20210216,41.917275135,-87.687254606,"(41.91727513545739, -87.68725460567114)",2021.0
3021,kostner food basket,1,2202172-20210112,41.879835084,-87.735596476,"(41.87983508374255, -87.7355964756099)",2021.0
3026,chick-fil-a at bucktown (il) fsr,1,2767050-20210112,41.925156441,-87.676293521,"(41.92515644072539, -87.67629352100445)",2021.0
3028,cafe istanbul,1,2631400-20210216,41.903289142,-87.677914096,"(41.903289141646646, -87.67791409556975)",2021.0
3043,cafe istanbul,1,2631398-20210216,41.903289142,-87.677914096,"(41.903289141646646, -87.67791409556975)",2021.0
3118,outdoor cafe,1,2364363-20210116,41.982931134,-87.711152513,"(41.98293113357383, -87.71115251272501)",2021.0
3183,cafe ba ba reeba,1,2767254-20210113,41.918943199,-87.64868497,"(41.918943198725025, -87.64868497024028)",2021.0
3252,pacheco's tacos restaurant llc,1,2757138-20210113,41.760806117,-87.702517353,"(41.7608061174595, -87.70251735250555)",2021.0
3376,okami sushi,1,2767001-20210114,41.90912536,-87.795620293,"(41.90912535950116, -87.79562029285854)",2021.0
3388,finest food & subs,1,2501127-20201216,41.969046675,-87.654674059,"(41.969046674717234, -87.65467405897606)",2020.0
3407,finest food & subs,1,2564300-20201216,41.969046675,-87.654674059,"(41.969046674717234, -87.65467405897606)",2020.0
3487,kostner food basket,1,2202172-20210116,41.879835084,-87.735596476,"(41.87983508374255, -87.7355964756099)",2021.0
3607,bru coffeeworks,1,2442374-20200416,41.968383154,-87.703818735,"(41.968383153992136, -87.70381873488532)",2020.0
3799,the avondale coffee club,1,2616836-20181009,41.93907999,-87.69765351,"(41.93907999018257, -87.69765351023295)",2018.0
3804,the avondale coffee club,1,2636946-20190822,41.93907999,-87.69765351,"(41.93907999018257, -87.69765351023295)",2019.0
3817,k-street 312 inc.,1,2766942-20210121,41.902331663,-87.740458945,"(41.902331662977616, -87.74045894485229)",2021.0
3831,wheat's end cafe,1,2146459-20180916,41.934911492,-87.644078835,"(41.93491149170618, -87.64407883547075)",2018.0
3871,squeez juice bar,1,2757759-20201120,41.923556201,-87.646501419,"(41.92355620096032, -87.64650141883769)",2020.0
3962,"the catcade, inc.",1,2542576-20210816,41.939702878,-87.660363212,"(41.939702878083544, -87.6603632122827)",2021.0
4182,billings cafe,1,2631159-20190316,41.789041956,-87.604813722,"(41.78904195612881, -87.60481372206813)",2019.0
4319,cafe nordstrom,1,1021790-20190316,41.891590741,-87.625867137,"(41.891590741083505, -87.62586713724458)",2019.0
4363,pupuseria cafe,1,2501354-20210216,41.777510908,-87.785067227,"(41.77751090774181, -87.7850672267915)",2021.0
4372,kanela cafe,1,2103656-20190316,41.940826003,-87.651210937,"(41.94082600285433, -87.65121093713536)",2019.0
4555,grand lux cafe,1,1228222-20190316,41.893216223,-87.624812444,"(41.89321622302089, -87.62481244397594)",2019.0
4573,volcano sushi cafe,1,2373791-20190316,41.86957965,-87.653509056,"(41.869579650124955, -87.65350905579126)",2019.0
4652,47th california shell,1,2384960-20190316,41.808368704,-87.694354129,"(41.80836870417712, -87.69435412866963)",2019.0
4664,velox coffee,1,2590159-20190222,41.994805167,-87.660560313,"(41.99480516673947, -87.66056031345276)",2019.0
4707,capital one - cafe,1,2511702-20190316,41.944442827,-87.663798247,"(41.94444282691601, -87.66379824747007)",2019.0
4765,d4 irish pub & cafe,1,1804575-20190316,41.892518301,-87.618502427,"(41.89251830082217, -87.61850242693725)",2019.0
4794,cafe nordstrom,1,1021791-20190316,41.891590741,-87.625867137,"(41.891590741083505, -87.62586713724458)",2019.0
4800,arabia cafe,1,1818746-20191116,41.900813877,-87.662742171,"(41.900813876826746, -87.66274217074957)",2019.0
4888,super mercado barrera,1,2517280-20190316,41.923556676,-87.698646766,"(41.923556675921546, -87.69864676647725)",2019.0
4979,provident cafe,1,2496842-20190316,41.80223871,-87.613995727,"(41.802238709769085, -87.61399572714086)",2019.0
4988,brinks cafe,1,2270517-20180416,41.890001335,-87.621438688,"(41.890001335214684, -87.62143868830125)",2018.0
4990,club 100,1,2704351-20200113,41.910085094,-87.718145318,"(41.910085094423906, -87.71814531750312)",2020.0
5011,sur la table,1,2262176-20190316,41.899248597,-87.624274978,"(41.89924859703626, -87.62427497820545)",2019.0
5202,tempo cafe,1,80916-20190316,41.898431372,-87.628009163,"(41.89843137207629, -87.6280091630558)",2019.0
5204,capital one cafe,1,2647052-20191009,41.79943294,-87.589237995,"(41.79943293964355, -87.58923799532896)",2019.0
5292,mariano cafe,1,2368572-20190316,41.9168114,-87.747231694,"(41.91681140021475, -87.74723169418635)",2019.0
5355,d4 irish pub & cafe,1,1804578-20190316,41.892518301,-87.618502427,"(41.89251830082217, -87.61850242693725)",2019.0
5599,"aaa food mart, inc.",1,2492538-20210116,41.846591963,-87.692937665,"(41.84659196320168, -87.69293766460069)",2021.0
5764,kanela cafe,1,2078723-20190316,41.940826003,-87.651210937,"(41.94082600285433, -87.65121093713536)",2019.0
5765,stroger cafe,1,2496843-20190316,41.873216999,-87.675675177,"(41.8732169991148, -87.67567517654017)",2019.0
5874,aint she sweet cafe beverly,1,2516547-20190316,41.713013336,-87.68196971,"(41.713013336357946, -87.68196971044577)",2019.0
5946,cafecito,1,2240716-20190316,41.882136293,-87.633687376,"(41.88213629338787, -87.63368737606883)",2019.0
6015,o'briens riverwalk cafe,1,2162295-20190316,41.887436519,-87.626344413,"(41.887436518969736, -87.62634441347357)",2019.0
6048,bf fuel & mini mart,1,2630685-20190326,41.765469066,-87.62475894,"(41.76546906605272, -87.6247589404981)",2019.0
6076,shell gas station,1,2506068-20190316,41.954080068,-87.698895398,"(41.95408006792635, -87.69889539836655)",2019.0
6209,"new york deli, inc.",1,2079741-20190316,41.809457736,-87.618832859,"(41.809457735882035, -87.61883285886145)",2019.0
6271,la catrina cafe,1,2185072-20190316,41.857902693,-87.652156209,"(41.85790269277439, -87.65215620861207)",2019.0
6375,slippery slope,1,2293835-20200516,41.924150306,-87.699150883,"(41.92415030562805, -87.69915088269197)",2020.0
6498,starbuck's coffee,1,2595872-20190316,41.892094137,-87.611569884,"(41.892094136861786, -87.61156988394656)",2019.0
6553,ellipsis coffeehouse llc,1,2240723-20190316,41.998050334,-87.662985289,"(41.99805033405427, -87.66298528869856)",2019.0
7019,brown sugar bakery & cafe,1,2384876-20190316,41.758480316,-87.617210895,"(41.75848031626892, -87.61721089479008)",2019.0
7046,7 seas food & meat mart,1,2231901-20190316,41.776688836,-87.605700349,"(41.77668883611632, -87.60570034929327)",2019.0
7180,"breakthrough, the bridge cafe",1,2384872-20200816,41.887402155,-87.707085604,"(41.887402155077424, -87.70708560385715)",2020.0
7211,passion house coffee roaster inc.,1,2694959-20191106,41.887426057,-87.703998308,"(41.887426056939134, -87.70399830843309)",2019.0
7338,cafe on oak,1,1766384-20190316,41.900118457,-87.623980519,"(41.90011845725853, -87.62398051946951)",2019.0
7365,dulce cafe cubano llc,1,2762117-20201201,41.801358264,-87.655203197,"(41.80135826427211, -87.65520319734787)",2020.0
7502,andysunflower cafe,1,2753676-20201202,41.692975933,-87.602664517,"(41.69297593328423, -87.60266451724692)",2020.0
7512,blanz pantry,1,2353875-20201216,41.965676246,-87.70853612,"(41.96567624582396, -87.708536119944)",2020.0
7531,cafe nordstrom,1,2405483-20190316,41.891590741,-87.625867137,"(41.891590741083505, -87.62586713724458)",2019.0
8587,starbucks coffee #2335,1,23111-20110416,,,,2011.0
9598,starbucks coffee #2335,1,23111-20040516,,,,2004.0
10738,starbucks coffee #2335,1,23111-20020516,,,,2002.0
13703,starbucks coffee #2335,1,23111-20070516,,,,2007.0
13995,starbucks coffee #2335,1,23111-20050516,,,,2005.0
14257,starbucks coffee #2335,1,23111-20030516,,,,2003.0
15513,starbucks coffee #2335,1,23111-20090416,,,,2009.0
15788,cafe lura,1,12700-20060216,41.938623091,-87.72332836,"(41.93862309072771, -87.72332836035943)",2006.0
19023,clark food & cyber cafe,1,2084566-20110330,,,,2011.0
19173,digital cafe chicago inc,1,1334468-20030221,41.905994461,-87.667417696,"(41.90599446095971, -87.66741769602818)",2003.0
24592,starbucks coffee #2335,1,23111-20060516,,,,2006.0
25523,"southport grocery and cafe, inc.",1,1357038-20130216,,,,2013.0
25919,liquor box,1,2523663-20200216,,,,2020.0
28262,rosebud cafe,1,25694-20120516,41.869409054,-87.66419709,"(41.86940905403705, -87.66419709016535)",2012.0
28351,starbucks coffee #2929,1,1422752-20070516,41.992344902,-87.710323101,"(41.99234490246529, -87.71032310131032)",2007.0
32343,old irving coffee express,1,1592810-20050816,41.952810606,-87.731098276,"(41.95281060595293, -87.73109827603336)",2005.0
40011,icafe,1,1621526-20051220,41.905994461,-87.667417696,"(41.90599446095971, -87.66741769602818)",2005.0
40626,haagen dazs cafe,1,1119100-20130316,41.892249163,-87.609518049,"(41.892249163400116, -87.60951804879336)",2013.0
45395,old irving coffee express,1,1592810-20050408,41.952810606,-87.731098276,"(41.95281060595293, -87.73109827603336)",2005.0
46283,las villas bakery & cafe,1,1168533-20041116,41.910373223,-87.692328814,"(41.91037322284627, -87.6923288141502)",2004.0
46682,yemen coffee house,1,2177046-20140816,41.967721835,-87.74018412,"(41.96772183453367, -87.74018412043799)",2014.0
50462,press relay cafe # 4053,1,1145297-20070516,41.881994338,-87.639758685,"(41.88199433820508, -87.6397586848809)",2007.0
53666,cafe brauer,1,2078960-20110328,41.919078039,-87.634538115,"(41.91907803902013, -87.63453811504745)",2011.0
55074,clark food & cyber cafe,1,2084568-20110314,,,,2011.0
55198,old irving coffee express,1,1592810-20060816,41.952810606,-87.731098276,"(41.95281060595293, -87.73109827603336)",2006.0
60023,ladybug book cafe,1,1884634-20080116,41.953851512,-87.700835019,"(41.95385151159909, -87.70083501928669)",2008.0
61193,clark food & cyber cafe,1,2084567-20110308,,,,2011.0
63910,clark food & cyber cafe,1,2084584-20110308,,,,2011.0
64288,"borders books, movies, music, cafe",1,1353535-20040816,41.993111793,-87.711574451,"(41.993111793400494, -87.71157445141056)",2004.0
64660,basil leaf cafe,1,63057-20070516,41.927066755,-87.641529678,"(41.92706675470967, -87.641529677542)",2007.0
64769,"artopolis bakery, cafe & angor",1,78837-20150516,41.877721138,-87.647385994,"(41.87772113783411, -87.64738599355731)",2015.0
64942,cafe selmarie,1,1069067-20190916,41.967406598,-87.687616424,"(41.96740659751604, -87.68761642361608)",2019.0
64958,east side nutrition,1,2744685-20200819,41.700492631,-87.53542862,"(41.700492630744094, -87.53542862032367)",2020.0
65041,plum cafes,1,1543292-20041103,41.889397883,-87.624390395,"(41.88939788330036, -87.62439039457111)",2004.0
65152,starbucks coffee #2484,1,1139807-20020816,41.898261619,-87.625164692,"(41.89826161908875, -87.62516469194003)",2002.0
65213,arturo express,1,53931-20051116,41.879616268,-87.639764523,"(41.87961626801739, -87.63976452343368)",2005.0
65224,big bowl cafe,1,76948-20030516,41.902487771,-87.627987267,"(41.90248777145183, -87.62798726705988)",2003.0
65253,cafe mimoza,1,1249028-20071116,41.968452474,-87.694874677,"(41.96845247365508, -87.69487467681566)",2007.0
65310,cna plaza / 2nd fl. cafeteria,1,3973-20030516,41.877450405,-87.625921976,"(41.87745040460004, -87.62592197642603)",2003.0
65334,tuscany cafe,1,1916162-20201016,42.008536401,-87.914428439,"(42.008536400868735, -87.91442843927047)",2020.0
65404,gold coast cafe,1,43187-20070216,41.902171928,-87.628503064,"(41.90217192822106, -87.62850306384912)",2007.0
65502,pini pico coffee co,1,2723644-20200424,41.910478398,-87.631795188,"(41.91047839796895, -87.63179518846857)",2020.0
65540,corner bakery cafe,1,1649400-20051230,41.883748217,-87.636661838,"(41.883748216941356, -87.6366618383099)",2005.0
65604,starbucks coffee #2639,1,1245152-20050516,41.8673211,-87.625953992,"(41.867321099741076, -87.62595399179575)",2005.0
65724,el picante mexican grill & cafe,1,1768407-20070308,41.857968298,-87.665999102,"(41.85796829780504, -87.66599910150788)",2007.0
65742,kingsbury street cafe,1,2109678-20150916,41.908854656,-87.652255882,"(41.90885465563301, -87.65225588240314)",2015.0
65784,sip coffeehouse,1,79354-20141116,41.890961434,-87.658421768,"(41.89096143449703, -87.65842176800524)",2014.0
65973,studio 69 cafe,1,1847814-20080312,41.923010423,-87.804536423,"(41.923010423191435, -87.80453642340093)",2008.0
65984,native foods cafe,1,2283740-20200116,41.878814822,-87.630950486,"(41.87881482219489, -87.63095048621103)",2020.0
66040,papanicholas cafe,1,1675511-20070216,41.961553844,-87.755099396,"(41.96155384444727, -87.75509939573654)",2007.0
66236,"perfect peace cafe & bakery, llc",1,1767202-20080716,41.75035447,-87.65593891,"(41.75035447015201, -87.65593891013951)",2008.0
66284,cosmic cafe,1,1000895-20020516,41.865732312,-87.619668637,"(41.865732312266495, -87.61966863731983)",2002.0
66399,oak street beach cafe,1,1358610-20140116,41.789329323,-87.741645644,"(41.789329323265385, -87.74164564419637)",2014.0
66414,starbucks coffee #217,1,23018-20110416,41.921905478,-87.648781981,"(41.9219054776707, -87.64878198090277)",2011.0
66424,to tu cafe corp,1,1932737-20080926,41.991483828,-87.748475228,"(41.99148382823134, -87.74847522773774)",2008.0
66689,starbucks coffee #10955,1,1743555-20130416,41.893404102,-87.626696815,"(41.89340410169577, -87.6266968151909)",2013.0
66954,"1826 cafe, inc.",1,1649260-20060816,41.965251154,-87.675783092,"(41.96525115367022, -87.67578309212361)",2006.0
66958,happy cafe,1,70372-20100616,41.849441688,-87.631791074,"(41.84944168775224, -87.63179107433243)",2010.0
66972,starbucks coffee #2218,1,23058-20040516,41.932746527,-87.653928731,"(41.93274652745159, -87.65392873099422)",2004.0
67011,"bai cafe, inc.",1,2078772-20170216,41.943602072,-87.668917327,"(41.94360207196127, -87.66891732656353)",2017.0
67133,o'briens riverwalk cafe,1,1904587-20080515,41.887436519,-87.626344413,"(41.887436518969736, -87.62634441347357)",2008.0
67201,dolce vita tanning cafe,1,1471127-20040106,41.938822683,-87.806629163,"(41.93882268336453, -87.80662916284577)",2004.0
67295,caribou coffee,1,1577525-20120216,41.885761124,-87.632595153,"(41.88576112449132, -87.63259515310935)",2012.0
67322,starbucks coffee #2223,1,23082-20040516,41.943047201,-87.671180893,"(41.94304720068851, -87.6711808928035)",2004.0
67481,greek corner restaurant cafe,1,48704-20121116,41.899503896,-87.677301195,"(41.89950389592152, -87.67730119485687)",2012.0
67557,starbucks coffee #11719,1,2397763-20151228,41.879942323,-87.647452744,"(41.8799423230123, -87.64745274382807)",2015.0
67687,thai star cafe,1,69210-20030216,41.894183225,-87.628285807,"(41.89418322482492, -87.62828580708)",2003.0
67965,macrochasa cyber cafe,1,1990973-20100422,41.844335261,-87.726631563,"(41.844335260618244, -87.72663156275945)",2010.0
68002,shokolad pastry & cafe,1,2283786-20130904,41.894774507,-87.683713616,"(41.8947745067907, -87.68371361557274)",2013.0
68156,michel sendra french bakery cafe,1,1273422-20021126,41.893286702,-87.620736038,"(41.89328670170699, -87.62073603767028)",2002.0
68216,lutz contl cafe & pastry shop,1,34593-20020516,41.961408694,-87.690796243,"(41.96140869447139, -87.6907962429884)",2002.0
68234,cafe penelope,1,42671-20030516,41.877924584,-87.666849361,"(41.87792458388526, -87.66684936114616)",2003.0
68265,panes bread cafe,1,36251-20020216,41.936372506,-87.654133137,"(41.936372505860334, -87.65413313674591)",2002.0
68313,eurest dining services at cafe 300,1,1964929-20160416,41.88752864,-87.632646837,"(41.887528639656935, -87.63264683652446)",2016.0
68350,cafe vienna,1,2484194-20160831,41.928487374,-87.642044357,"(41.928487374216466, -87.64204435669477)",2016.0
68397,kin-kin coffee,1,2529270-20170510,41.858062658,-87.646795272,"(41.858062657591574, -87.646795271613)",2017.0
68500,uprising wood fired pizza cafe,1,2418360-20160204,41.918222369,-87.652888911,"(41.91822236870298, -87.65288891075613)",2016.0
68551,starbucks coffee #2378,1,23124-20130416,41.964622923,-87.685770718,"(41.964622923210825, -87.68577071779451)",2013.0
68645,hudson's book corner/euro cafe,1,1145229-20020216,41.787835631,-87.74127656,"(41.78783563115532, -87.74127655955658)",2002.0
68656,caribou coffee company #778,1,1597169-20050622,41.892233722,-87.640615745,"(41.89223372222434, -87.6406157447626)",2005.0
68716,heartland cafe,1,1841976-20070713,42.009034911,-87.674122161,"(42.00903491091937, -87.67412216051365)",2007.0
68798,starbucks coffee #21751,1,2334298-20170416,41.891418101,-87.627914756,"(41.89141810118847, -87.62791475607904)",2017.0
68981,geja's cafe,1,258-20130416,41.918445336,-87.638007427,"(41.918445336371185, -87.63800742700411)",2013.0
69040,cafe nordstrom,1,2405484-20190316,41.891590741,-87.625867137,"(41.891590741083505, -87.62586713724458)",2019.0
69066,xando coffee & bar / cosi sandwich bar,1,99-20071116,41.885822048,-87.632303735,"(41.885822047853026, -87.63230373508567)",2007.0
69080,piazza cafe,1,1821328-20070702,41.945212579,-87.82372778,"(41.94521257883548, -87.82372778017668)",2007.0
69089,senor pan cafe inc.,1,2092973-20170816,41.924402342,-87.74231826,"(41.92440234177882, -87.74231825957612)",2017.0
69215,tuscany cafe,1,1916161-20201016,42.008536401,-87.914428439,"(42.008536400868735, -87.91442843927047)",2020.0
69228,harolds shrimp and chicken pizzeria,1,2732617-20210119,41.86921678,-87.662493891,"(41.86921677973378, -87.66249389074504)",2021.0
69357,palma restaurant & cafe,1,1095711-20020216,41.956193397,-87.708230325,"(41.956193396983295, -87.70823032541526)",2002.0
69441,ex libris science digest coffee,1,33359-20050816,41.79152143,-87.599500566,"(41.791521429859806, -87.59950056588147)",2005.0
69471,c r video cafe,1,1300039-20060816,41.793210649,-87.71539914,"(41.793210648568454, -87.7153991401241)",2006.0
69501,thyme cafe,1,81824-20030516,41.909420031,-87.676195083,"(41.909420030729095, -87.67619508256817)",2003.0
69509,starbucks coffee #2337,1,23119-20090416,41.885444388,-87.632582135,"(41.8854443881431, -87.6325821348462)",2009.0
69515,coyote grill cafe,1,1547060-20041213,41.961480645,-87.669334205,"(41.96148064502001, -87.66933420453563)",2004.0
69536,mary's cafe,1,61130-20040516,41.891661717,-87.622044738,"(41.89166171661816, -87.62204473809204)",2004.0
69623,o'briens riverwalk cafe,1,2404271-20150521,41.887436519,-87.626344413,"(41.887436518969736, -87.62634441347357)",2015.0
69697,d and m cafe,1,1933670-20101016,41.744630715,-87.604905198,"(41.744630715329514, -87.60490519818548)",2010.0
69719,starbucks coffee #231,1,23097-20060516,41.943374661,-87.663769116,"(41.943374660605755, -87.6637691162607)",2006.0
69792,grand lux cafe,1,1228222-20031116,41.893216223,-87.624812444,"(41.89321622302089, -87.62481244397594)",2003.0
69842,subterranean cafe & cabaret,1,38547-20151116,41.910364022,-87.678062723,"(41.910364021765275, -87.67806272285702)",2015.0
69930,wentworth mobil,1,2384851-20190316,41.707206116,-87.628815002,"(41.707206116169495, -87.62881500236827)",2019.0
69969,"atlas cafe, inc.",1,1649643-20091116,41.917539159,-87.703727888,"(41.91753915867679, -87.70372788811352)",2009.0
69971,starbucks coffee,1,23070-20040516,41.881822494,-87.635436571,"(41.881822493770215, -87.6354365710274)",2004.0
70028,cafe a 2,1,25063-20041116,41.851019777,-87.613882123,"(41.85101977719979, -87.61388212252119)",2004.0
70067,starbucks coffee #2443,1,1046017-20070516,41.910278011,-87.677515948,"(41.91027801081319, -87.67751594839523)",2007.0
70137,ambrosia cafe,1,1573969-20090416,41.917732851,-87.653208325,"(41.91773285078831, -87.65320832499971)",2009.0
70139,polo cafe and catering bridgeport u.s.a.,1,32541-20031116,41.833618869,-87.651182688,"(41.83361886880686, -87.65118268844637)",2003.0
70285,mather's-more than a cafe,1,1121509-20061116,41.981000342,-87.805905466,"(41.98100034161097, -87.8059054660053)",2006.0
70328,hotel burnham/atwood cafe,1,76265-20040516,41.883108627,-87.627948771,"(41.883108627266935, -87.62794877080378)",2004.0
70414,starbucks coffee #231,1,23097-20130416,41.943374661,-87.663769116,"(41.943374660605755, -87.6637691162607)",2013.0
70416,cafe med,1,1893477-20081028,41.899351735,-87.621986906,"(41.89935173506942, -87.62198690644685)",2008.0
70489,cafe nhu hoa,1,1095455-20040816,41.973408536,-87.655843244,"(41.973408535904916, -87.6558432439348)",2004.0
70511,tire & wheel cafe,1,2646795-20190219,41.950755392,-87.807347168,"(41.950755392272924, -87.80734716818277)",2019.0
70556,cafe 1850,1,2590022-20200516,41.866905838,-87.673315916,"(41.86690583756181, -87.6733159162735)",2020.0
70565,elenis cafe,1,1974145-20090701,41.903590314,-87.659213209,"(41.90359031409245, -87.65921320919513)",2009.0
70609,cafe luna,1,1171720-20040816,41.714,-87.667068678,"(41.71400000021333, -87.66706867807574)",2004.0
70630,efebos internet cafe,1,1576722-20070216,41.858709158,-87.660604008,"(41.85870915813739, -87.6606040076504)",2007.0
