,Unnamed: 0,LONGITUDE,LATITUDE,CCA
0,201,-87.639764523,41.879616268,WEST LOOP
1,840,-87.807329446,41.950347693,DUNNING
2,1223,-87.807329446,41.950347693,DUNNING
3,2027,-87.690796243,41.961408694,LINCOLN SQUARE
4,2251,-87.699992361,41.924668247,LOGAN SQUARE
5,2269,-87.618502427,41.892518301,
6,2879,-87.711375496,41.880804615,GARFIELD PARK
7,2910,-87.681985722,41.713569899,BEVERLY
8,2927,-87.687254606,41.917275135,BUCKTOWN
9,3021,-87.735596476,41.879835084,GARFIELD PARK
10,3026,-87.676293521,41.925156441,BUCKTOWN
11,3028,-87.677914096,41.903289142,"WICKER PARK,WEST TOWN"
12,3043,-87.677914096,41.903289142,"WICKER PARK,WEST TOWN"
13,3118,-87.711152513,41.982931134,"NORTH PARK,ALBANY PARK"
14,3183,-87.64868497,41.918943199,LINCOLN PARK
15,3252,-87.702517353,41.760806117,"MARQUETTE PARK,GAGE PARK"
16,3376,-87.795620293,41.90912536,"MONTCLARE, GALEWOOD"
17,3388,-87.654674059,41.969046675,UPTOWN
18,3407,-87.654674059,41.969046675,UPTOWN
19,3487,-87.735596476,41.879835084,GARFIELD PARK
20,3607,-87.703818735,41.968383154,"NORTH PARK,ALBANY PARK"
21,3799,-87.69765351,41.93907999,"IRVING PARK,AVONDALE"
22,3804,-87.69765351,41.93907999,"IRVING PARK,AVONDALE"
23,3817,-87.740458945,41.902331663,HUMBOLDT PARK
24,3831,-87.644078835,41.934911492,LAKE VIEW
25,3871,-87.646501419,41.923556201,LINCOLN PARK
26,3962,-87.660363212,41.939702878,LAKE VIEW
27,4182,-87.604813722,41.789041956,HYDE PARK
28,4319,-87.625867137,41.891590741,RIVER NORTH
29,4363,-87.785067227,41.777510908,MIDWAY AIRPORT
30,4372,-87.651210937,41.940826003,LAKE VIEW
31,4555,-87.624812444,41.893216223,
32,4573,-87.653509056,41.86957965,"LITTLE ITALY, UIC"
33,4652,-87.694354129,41.808368704,"BRIGHTON PARK,MCKINLEY PARK"
34,4664,-87.660560313,41.994805167,EDGEWATER
35,4707,-87.663798247,41.944442827,LAKE VIEW
36,4765,-87.618502427,41.892518301,
37,4794,-87.625867137,41.891590741,RIVER NORTH
38,4800,-87.662742171,41.900813877,"WICKER PARK,WEST TOWN"
