,LONGITUDE,LATITUDE
201,-87.639764523,41.879616268
840,-87.807329446,41.950347693
1223,-87.807329446,41.950347693
2027,-87.690796243,41.961408694
2251,-87.699992361,41.924668247
2269,-87.618502427,41.892518301
2879,-87.711375496,41.880804615
2910,-87.681985722,41.713569899
2927,-87.687254606,41.917275135
3021,-87.735596476,41.879835084
3026,-87.676293521,41.925156441
3028,-87.677914096,41.903289142
3043,-87.677914096,41.903289142
3118,-87.711152513,41.982931134
3183,-87.64868497,41.918943199
3252,-87.702517353,41.760806117
3376,-87.795620293,41.90912536
3388,-87.654674059,41.969046675
3407,-87.654674059,41.969046675
3487,-87.735596476,41.879835084
3607,-87.703818735,41.968383154
3799,-87.69765351,41.93907999
3804,-87.69765351,41.93907999
3817,-87.740458945,41.902331663
3831,-87.644078835,41.934911492
3871,-87.646501419,41.923556201
3962,-87.660363212,41.939702878
4182,-87.604813722,41.789041956
4319,-87.625867137,41.891590741
4363,-87.785067227,41.777510908
4372,-87.651210937,41.940826003
4555,-87.624812444,41.893216223
4573,-87.653509056,41.86957965
4652,-87.694354129,41.808368704
4664,-87.660560313,41.994805167
4707,-87.663798247,41.944442827
4765,-87.618502427,41.892518301
4794,-87.625867137,41.891590741
4800,-87.662742171,41.900813877
4888,-87.698646766,41.923556676
4979,-87.613995727,41.80223871
4988,-87.621438688,41.890001335
4990,-87.718145318,41.910085094
5011,-87.624274978,41.899248597
5202,-87.628009163,41.898431372
5204,-87.589237995,41.79943294
5292,-87.747231694,41.9168114
5355,-87.618502427,41.892518301
5599,-87.692937665,41.846591963
5764,-87.651210937,41.940826003
5765,-87.675675177,41.873216999
5874,-87.68196971,41.713013336
5946,-87.633687376,41.882136293
6015,-87.626344413,41.887436519
6048,-87.62475894,41.765469066
6076,-87.698895398,41.954080068
6209,-87.618832859,41.809457736
6271,-87.652156209,41.857902693
6375,-87.699150883,41.924150306
6498,-87.611569884,41.892094137
6553,-87.662985289,41.998050334
7019,-87.617210895,41.758480316
7046,-87.605700349,41.776688836
7180,-87.707085604,41.887402155
7211,-87.703998308,41.887426057
7338,-87.623980519,41.900118457
7365,-87.655203197,41.801358264
7502,-87.602664517,41.692975933
7512,-87.70853612,41.965676246
7531,-87.625867137,41.891590741
8587,,
9598,,
10738,,
13703,,
13995,,
14257,,
15513,,
15788,-87.72332836,41.938623091
19023,,
19173,-87.667417696,41.905994461
24592,,
25523,,
25919,,
28262,-87.66419709,41.869409054
28351,-87.710323101,41.992344902
32343,-87.731098276,41.952810606
40011,-87.667417696,41.905994461
40626,-87.609518049,41.892249163
45395,-87.731098276,41.952810606
46283,-87.692328814,41.910373223
46682,-87.74018412,41.967721835
50462,-87.639758685,41.881994338
53666,-87.634538115,41.919078039
55074,,
55198,-87.731098276,41.952810606
60023,-87.700835019,41.953851512
61193,,
63910,,
64288,-87.711574451,41.993111793
64660,-87.641529678,41.927066755
64769,-87.647385994,41.877721138
64942,-87.687616424,41.967406598
64958,-87.53542862,41.700492631
65041,-87.624390395,41.889397883
65152,-87.625164692,41.898261619
65213,-87.639764523,41.879616268
65224,-87.627987267,41.902487771
65253,-87.694874677,41.968452474
65310,-87.625921976,41.877450405
65334,-87.914428439,42.008536401
65404,-87.628503064,41.902171928
65502,-87.631795188,41.910478398
65540,-87.636661838,41.883748217
65604,-87.625953992,41.8673211
65724,-87.665999102,41.857968298
65742,-87.652255882,41.908854656
65784,-87.658421768,41.890961434
65973,-87.804536423,41.923010423
65984,-87.630950486,41.878814822
66040,-87.755099396,41.961553844
66236,-87.65593891,41.75035447
66284,-87.619668637,41.865732312
66399,-87.741645644,41.789329323
66414,-87.648781981,41.921905478
66424,-87.748475228,41.991483828
66689,-87.626696815,41.893404102
66954,-87.675783092,41.965251154
66958,-87.631791074,41.849441688
66972,-87.653928731,41.932746527
67011,-87.668917327,41.943602072
67133,-87.626344413,41.887436519
67201,-87.806629163,41.938822683
67295,-87.632595153,41.885761124
67322,-87.671180893,41.943047201
67481,-87.677301195,41.899503896
67557,-87.647452744,41.879942323
67687,-87.628285807,41.894183225
67965,-87.726631563,41.844335261
68002,-87.683713616,41.894774507
68156,-87.620736038,41.893286702
68216,-87.690796243,41.961408694
68234,-87.666849361,41.877924584
68265,-87.654133137,41.936372506
68313,-87.632646837,41.88752864
68350,-87.642044357,41.928487374
68397,-87.646795272,41.858062658
68500,-87.652888911,41.918222369
68551,-87.685770718,41.964622923
68645,-87.74127656,41.787835631
68656,-87.640615745,41.892233722
68716,-87.674122161,42.009034911
68798,-87.627914756,41.891418101
68981,-87.638007427,41.918445336
69040,-87.625867137,41.891590741
69066,-87.632303735,41.885822048
69080,-87.82372778,41.945212579
69089,-87.74231826,41.924402342
69215,-87.914428439,42.008536401
69228,-87.662493891,41.86921678
69357,-87.708230325,41.956193397
69441,-87.599500566,41.79152143
69471,-87.71539914,41.793210649
69501,-87.676195083,41.909420031
69509,-87.632582135,41.885444388
69515,-87.669334205,41.961480645
69536,-87.622044738,41.891661717
69623,-87.626344413,41.887436519
69697,-87.604905198,41.744630715
69719,-87.663769116,41.943374661
69792,-87.624812444,41.893216223
69842,-87.678062723,41.910364022
69930,-87.628815002,41.707206116
69969,-87.703727888,41.917539159
69971,-87.635436571,41.881822494
70028,-87.613882123,41.851019777
70067,-87.677515948,41.910278011
70137,-87.653208325,41.917732851
70139,-87.651182688,41.833618869
70285,-87.805905466,41.981000342
70328,-87.627948771,41.883108627
70414,-87.663769116,41.943374661
70416,-87.621986906,41.899351735
70489,-87.655843244,41.973408536
70511,-87.807347168,41.950755392
70556,-87.673315916,41.866905838
70565,-87.659213209,41.903590314
70609,-87.667068678,41.714
70630,-87.660604008,41.858709158
70735,-87.629610541,41.895773515
70856,-87.632582135,41.885444388
70971,-87.605084912,41.791260618
70983,-87.644198417,41.938435181
70997,-87.623919868,41.851688372
71047,-87.651612251,41.884445042
71137,-87.58494662,41.793514076
71202,-87.673923954,41.886928139
71235,-87.672516933,41.910671666
71298,-87.625850989,41.883111687
71322,-87.649176566,41.941696341
71354,-87.642058833,41.867728804
71369,-87.599498495,41.788690225
71414,-87.66161251,41.89605275
71679,-87.648654193,41.891732865
71778,-87.65104908,41.927234066
71875,-87.634729782,41.906926209
71934,-87.66100296,42.004715699
72008,-87.692286234,41.97432474
72174,-87.586294285,41.759123815
72192,-87.604813722,41.789041956
72254,-87.627305436,41.855885131
72308,-87.575451405,41.77863625
72332,-87.636523872,41.878560154
72394,-87.632831712,41.895283321
72548,-87.649515482,41.925552885
72569,-87.693856639,41.968461303
72658,-87.668567175,41.976230337
72678,-87.747161464,41.944316998
72686,-87.7108253,41.924785635
72721,-87.651210937,41.940826003
72722,-87.627948771,41.883108627
72734,-87.624272468,41.900801649
72740,-87.802627064,41.938165696
72792,-87.630056903,41.903812639
72844,-87.675048238,41.954094914
72893,-87.645770127,41.836116984
73058,-87.636523872,41.878560154
73190,-87.679429001,41.943096883
73209,-87.585799573,41.806170388
73485,-87.68286119,41.910277011
73595,-87.623980519,41.900118457
73599,-87.700206507,41.816426881
73698,-87.640723497,41.863337832
73841,-87.663647157,41.764867752
73867,-87.618502427,41.892518301
73896,-87.683376777,41.914351203
73913,-87.646504796,41.858183857
74268,-87.624307178,41.891688517
74280,-87.639764523,41.879616268
74349,-87.69202089,41.973725499
74396,-87.625912729,41.896600154
74404,-87.655752955,41.973190362
74424,-87.775692961,41.952959773
74449,-87.631514665,41.92616072
74486,-87.670890134,41.932482474
74502,-87.641268696,41.927168968
74701,-87.628369943,41.897542251
74797,-87.651182688,41.833618869
75042,,
75055,-87.626556085,41.886831512
75122,-87.623272561,41.884588372
75184,-87.647501679,41.909313774
75204,-87.654966292,41.939787596
75226,-87.653928731,41.932746527
75333,-87.627035641,41.887938744
75342,-87.620520448,41.894905816
75464,-87.609518049,41.892249163
75655,-87.626824833,41.765552617
