,CCA,year,keep_row
0,ANDERSONVILLE,2018.0,1
1,BACK OF THE YARDS,2021.0,1
2,"BELMONT CRAGIN,HERMOSA",2019.0,1
3,"BELMONT CRAGIN,HERMOSA",2020.0,1
4,BEVERLY,2019.0,1
5,DUNNING,2019.0,2
6,DUNNING,2020.0,1
7,DUNNING,2021.0,2
8,EDGEWATER,2021.0,2
9,HYDE PARK,2020.0,1
10,"IRVING PARK,AVONDALE",2019.0,1
11,"IRVING PARK,AVONDALE",2021.0,1
12,JEFFERSON PARK,2019.0,1
13,"KENWOOD,OAKLAND",2004.0,1
14,LAKE VIEW,2019.0,4
15,LAKE VIEW,2021.0,2
16,LINCOLN PARK,2021.0,2
17,LINCOLN SQUARE,2019.0,1
18,LINCOLN SQUARE,2020.0,1
19,"LITTLE ITALY, UIC",2019.0,1
20,LOOP,2019.0,8
21,LOOP,2020.0,2
22,LOOP,2021.0,1
23,MIDWAY AIRPORT,2005.0,1
24,MIDWAY AIRPORT,2019.0,1
25,NEAR SOUTH SIDE,2019.0,1
26,NORTH CENTER,2018.0,1
27,NORTH CENTER,2020.0,1
28,NORTH LAWNDALE,2020.0,1
29,"NORTH PARK,ALBANY PARK",2018.0,1
30,"NORTH PARK,ALBANY PARK",2019.0,1
31,"NORTH PARK,ALBANY PARK",2020.0,2
32,"NORTH PARK,ALBANY PARK",2021.0,1
33,NORWOOD PARK,2003.0,1
34,NORWOOD PARK,2019.0,1
35,RIVER NORTH,2019.0,1
36,ROGERS PARK,2021.0,3
37,RUSH & DIVISION,2019.0,1
38,SHEFFIELD & DEPAUL,2019.0,1
39,SOUTH CHICAGO,2017.0,1
40,UKRAINIAN VILLAGE AND EAST VILLAGE,2007.0,1
41,WEST LAWN,2020.0,1
42,WEST LOOP,2019.0,3
43,WEST LOOP,2020.0,1
44,WEST LOOP,2021.0,1
45,"WICKER PARK,WEST TOWN",2011.0,1
46,"WICKER PARK,WEST TOWN",2019.0,2
47,"WICKER PARK,WEST TOWN",2020.0,1
48,"WICKER PARK,WEST TOWN",2021.0,1
49,WRIGLEYVILLE,2019.0,1
