,community,year,keep_row
0,ALBANY PARK,2002.0,11
1,ALBANY PARK,2003.0,12
2,ALBANY PARK,2004.0,17
3,ALBANY PARK,2005.0,21
4,ALBANY PARK,2006.0,20
5,ALBANY PARK,2007.0,23
6,ALBANY PARK,2008.0,4
7,ALBANY PARK,2009.0,23
8,ALBANY PARK,2010.0,8
9,ALBANY PARK,2011.0,20
10,ALBANY PARK,2012.0,2
11,ALBANY PARK,2013.0,17
12,ALBANY PARK,2014.0,2
13,ALBANY PARK,2015.0,20
14,ALBANY PARK,2016.0,8
15,ALBANY PARK,2017.0,16
16,ALBANY PARK,2018.0,6
17,ALBANY PARK,2019.0,22
18,ALBANY PARK,2020.0,9
19,ALBANY PARK,2021.0,15
20,ARCHER HEIGHTS,2012.0,1
21,ARCHER HEIGHTS,2014.0,1
22,ARCHER HEIGHTS,2016.0,2
23,ARCHER HEIGHTS,2018.0,1
24,ARCHER HEIGHTS,2020.0,2
25,ARCHER HEIGHTS,2021.0,1
26,ARMOUR SQUARE,2001.0,2
27,ARMOUR SQUARE,2002.0,9
28,ARMOUR SQUARE,2003.0,7
29,ARMOUR SQUARE,2004.0,8
30,ARMOUR SQUARE,2005.0,13
31,ARMOUR SQUARE,2006.0,8
32,ARMOUR SQUARE,2007.0,12
33,ARMOUR SQUARE,2008.0,13
34,ARMOUR SQUARE,2009.0,2
35,ARMOUR SQUARE,2010.0,13
36,ARMOUR SQUARE,2011.0,1
37,ARMOUR SQUARE,2012.0,10
38,ARMOUR SQUARE,2013.0,1
39,ARMOUR SQUARE,2014.0,11
40,ARMOUR SQUARE,2015.0,3
41,ARMOUR SQUARE,2016.0,6
42,ARMOUR SQUARE,2017.0,5
43,ARMOUR SQUARE,2018.0,8
44,ARMOUR SQUARE,2019.0,6
45,ARMOUR SQUARE,2020.0,6
46,ARMOUR SQUARE,2021.0,5
47,ASHBURN,2003.0,1
48,ASHBURN,2008.0,1
49,ASHBURN,2013.0,1
50,ASHBURN,2020.0,1
