,timeperiod_x,CCA_name,Year,crimes,year,coffeeshops
0,2005-2009,Albany Park,10035,645.0,10035.0,157.0
1,2005-2009,Archer Heights,10035,302.0,10035.0,9.0
2,2005-2009,Armour Square,10035,394.0,10035.0,48.0
3,2005-2009,Ashburn,10035,1010.0,10035.0,1.0
4,2005-2009,Auburn Gresham,10035,3181.0,10035.0,6.0
5,2005-2009,Austin,10035,5786.0,10035.0,11.0
6,2005-2009,Avalon Park,10035,663.0,10035.0,4.0
7,2005-2009,Avondale,10035,859.0,10035.0,111.0
8,2005-2009,Belmont Cragin,10035,1387.0,10035.0,82.0
9,2005-2009,Beverly,10035,287.0,10035.0,16.0
10,2005-2009,Bridgeport,10035,267.0,10035.0,36.0
11,2005-2009,Brighton Park,10035,725.0,10035.0,19.0
12,2005-2009,Burnside,10035,127.0,10035.0,33.0
13,2005-2009,Calumet Heights,10035,639.0,0.0,0.0
14,2005-2009,Chatham,10035,2690.0,0.0,0.0
15,2005-2009,Chicago Lawn,10035,3050.0,0.0,0.0
16,2005-2009,Clearing,10035,128.0,0.0,0.0
17,2005-2009,Douglas,10035,844.0,10035.0,51.0
18,2005-2009,Dunning,10035,234.0,10035.0,81.0
19,2005-2009,East Garfield Park,10035,1573.0,10035.0,7.0
20,2005-2009,East Side,10035,207.0,0.0,0.0
21,2005-2009,Edgewater,10035,756.0,10035.0,119.0
22,2005-2009,Edison Park,10035,13.0,10035.0,4.0
23,2005-2009,Englewood,10035,2825.0,10035.0,7.0
24,2005-2009,Forest Glen,10035,49.0,10035.0,25.0
25,2005-2009,Fuller Park,10035,318.0,0.0,0.0
26,2005-2009,Gage Park,10035,748.0,10035.0,1.0
27,2005-2009,Garfield Ridge,10035,479.0,10035.0,72.0
28,2005-2009,Grand Boulevard,10035,1310.0,0.0,0.0
29,2005-2009,Greater Grand Crossing,10035,2965.0,0.0,0.0
30,2005-2009,Hegewisch,10035,87.0,0.0,0.0
31,2005-2009,Hermosa,10035,453.0,0.0,0.0
32,2005-2009,Humboldt Park,10035,2599.0,10035.0,21.0
33,2005-2009,Hyde Park,10035,811.0,10035.0,100.0
34,2005-2009,Irving Park,10035,663.0,0.0,0.0
35,2005-2009,Jefferson Park,10035,135.0,10035.0,26.0
36,2005-2009,Kenwood,10035,453.0,10035.0,25.0
37,2005-2009,Lake View,10035,1321.0,10035.0,300.0
38,2005-2009,Lincoln Park,10035,917.0,10035.0,257.0
39,2005-2009,Lincoln Square,10035,337.0,10035.0,189.0
40,2005-2009,Logan Square,10035,1652.0,10035.0,111.0
41,2005-2009,Loop,10035,1155.0,10035.0,643.0
42,2005-2009,Lower West Side,10035,584.0,10035.0,84.0
43,2005-2009,Mckinley Park,10035,210.0,0.0,0.0
44,2005-2009,Montclare,10035,121.0,10035.0,71.0
45,2005-2009,Morgan Park,10035,595.0,10035.0,17.0
46,2005-2009,Mount Greenwood,10035,60.0,0.0,0.0
47,2005-2009,Near North Side,10035,1642.0,10035.0,380.0
48,2005-2009,Near South Side,10035,386.0,10035.0,40.0
49,2005-2009,Near West Side,10035,1950.0,10035.0,271.0
50,2005-2009,New City,10035,1596.0,10035.0,5.0
51,2005-2009,North Center,10035,258.0,10035.0,89.0
52,2005-2009,North Lawndale,10035,2313.0,10035.0,16.0
53,2005-2009,North Park,10035,144.0,0.0,0.0
54,2005-2009,Norwood Park,10035,83.0,10035.0,30.0
55,2005-2009,O'Hare,10035,44.0,0.0,0.0
56,2005-2009,Oakland,10035,148.0,0.0,0.0
57,2005-2009,Portage Park,10035,686.0,10035.0,66.0
58,2005-2009,Pullman,10035,303.0,10035.0,0.0
59,2005-2009,Riverdale,10035,368.0,0.0,0.0
60,2005-2009,Rogers Park,10035,1460.0,10035.0,86.0
61,2005-2009,Roseland,10035,2709.0,0.0,0.0
62,2005-2009,South Chicago,10035,1757.0,10035.0,12.0
63,2005-2009,South Deering,10035,471.0,10035.0,9.0
64,2005-2009,South Lawndale,10035,1347.0,10035.0,9.0
65,2005-2009,South Shore,10035,3493.0,10035.0,36.0
66,2005-2009,Uptown,10035,984.0,10035.0,87.0
67,2005-2009,Washington Heights,10035,1141.0,10035.0,3.0
68,2005-2009,Washington Park,10035,1181.0,10035.0,0.0
69,2005-2009,West Elsdon,10035,235.0,0.0,0.0
