,timeperiod,GEOG,crimes,coffeeshops,INC_LT_25K,INC_25_50K,INC_50_75K,INC_75_100K,INC_100_150K,INC_GT_150,MEDINC,EMP,UNEMP,TOT_POP,WHITE,HISP,BLACK,ASIAN,POP_HH,AsianPerc,BlackPerc,HispPerc,WhitePerc,UnemployedPerc,EmployedPerc,Inc25k,Inc50k,Inc75k,Inc100k,Inc150k,Inc_gt150k
0,2005-2009,Albany Park,645.0,157.0,4781.0,3986.0,2966.0,2003.0,1748.0,1320.0,47864.92398,27319.0,3052.0,53897.0,15844.0,28257.0,2177.0,6710.0,52775.0,0.12449672523517079,0.040391858545002504,0.5242777891162773,0.29396812438540176,0.05662652837820287,0.5068742230550866,0.08870623596860679,0.07395587880587046,0.055030892257454035,0.037163478486743236,0.03243223184963913,0.02449115906265655
1,2005-2009,Archer Heights,302.0,9.0,754.2053571,1387.696429,814.0625,357.625,279.0,141.9330357,42655.16006,5496.034931,1081.759545,13408.35388,2995.06163,9916.870775,210.4691849,209.9522863,13398.35388,0.015658319296984424,0.015696869786076977,0.7396038964777083,0.2233728059987629,0.08067802764465819,0.40989632136707893,0.0562489149562929,0.10349491379921724,0.06071308285010747,0.02667180499564798,0.020807923366056028,0.010585418386943707
2,2005-2009,Armour Square,394.0,48.0,2835.711009,1085.912844,641.6972477,354.940367,329.1651376,127.3761468,21743.57846,5880.601113,1180.585529,13764.29367,1560.087638,651.8769588,1680.0,9201.634939,13757.29367,0.6685148660447028,0.12205493723674672,0.047360000769294835,0.1133430944880443,0.0857716027647062,0.42723595223902255,0.20601936263395637,0.07889346667797448,0.04662042696012894,0.025787038224388596,0.02391442274422208,0.009254099763769426
3,2005-2009,Ashburn,1010.0,1.0,2120.0,2568.0,2467.0,2099.0,2544.0,982.0,67963.90803,18862.0,2505.0,42788.0,7152.0,13148.0,22047.0,121.0,42292.0,0.0028278956716836496,0.5152612882116481,0.30728241563055064,0.16714966813125176,0.05854445171543424,0.440824530242124,0.049546601850986256,0.06001682714779845,0.057656352248293914,0.04905581004019818,0.05945592222118351,0.022950359913994578
4,2005-2009,Auburn Gresham,3181.0,6.0,7161.0,4655.0,2767.0,1395.0,816.0,379.0,30899.9472,15369.0,6078.0,49634.0,135.0,484.0,48680.0,77.0,49561.0,0.0015513559253737357,0.980779304509006,0.009751380102349196,0.0027199097392916144,0.12245638070677359,0.3096466132086876,0.1442761010597574,0.09378651730668493,0.055748075915702945,0.028105733972680017,0.016440343313051536,0.0076358947495668295
5,2005-2009,Austin,5786.0,11.0,13263.0,8680.0,4674.0,2719.0,2133.0,959.0,31885.40373,33554.0,9821.0,98162.0,4463.0,8756.0,83844.0,351.0,96799.0,0.0035757217660601862,0.8541390762209409,0.08919948656302847,0.045465658808907725,0.10004889875919398,0.3418227012489558,0.13511338399788106,0.0884252562091237,0.04761516676514333,0.02769910963509301,0.021729386116827284,0.009769564597298344
6,2005-2009,Avalon Park,663.0,4.0,1150.426901,931.128655,608.6023392,441.7076023,560.3157895,164.5692008,45465.43448,3806.393912,1017.682953,9589.472892,167.0527108,29.0,9269.78238,34.0,9584.472892,0.0035455546288018017,0.9666623478057172,0.0030241495363309487,0.01742042682443614,0.10612501484299519,0.39693463393337053,0.11996768893937242,0.09709904449250724,0.06346567178971071,0.046061718644462075,0.05843030120742533,0.017161443872195682
7,2005-2009,Avondale,859.0,111.0,3279.0,4321.0,2892.0,1270.0,1487.0,552.0,46352.70125,21415.0,2176.0,41542.0,11010.0,27177.0,1110.0,1289.0,41489.0,0.031028838284146164,0.026719946078667373,0.6542053825044534,0.26503297867218717,0.05238072312358577,0.5155023831303259,0.07893216503779307,0.10401521351884839,0.06961629194550094,0.03057146983775456,0.03579509893601656,0.013287756968850801
8,2005-2009,Belmont Cragin,1387.0,82.0,5763.219931,6796.688431,4315.020619,2191.34937,1972.172967,506.3688431,42307.42733,33132.70385,5685.974994,77833.43771,11878.39482,59946.75416,3819.491682,991.4513863,77533.65582,0.01273811636065792,0.0490726324620411,0.7701928107474311,0.15261300502051278,0.0730531139480875,0.42568727303873316,0.07404555292126772,0.0873235029952527,0.05543916272948597,0.028154343871650122,0.025338376731452224,0.006505800822863333
9,2005-2009,Beverly,287.0,16.0,830.0,1079.0,1301.0,1290.0,1542.0,1663.0,87451.05233,10026.0,873.0,21226.0,12358.0,1092.0,7366.0,61.0,21203.0,0.0028738339771977764,0.34702723075473474,0.0514463393950815,0.5822104965608217,0.041128804296617354,0.47234523697352304,0.03910298690285499,0.05083388297371148,0.06129275416941487,0.060774521812871005,0.07264675398096673,0.07834730990294922
10,2005-2009,Bridgeport,267.0,36.0,3673.288991,3015.087156,2222.302752,1432.059633,1029.834862,751.6238532,44415.54918,15951.39889,2531.414471,32375.70633,10737.91236,9256.123041,635.0,10749.36506,32341.70633,0.3320194762836546,0.019613471703985523,0.2858971769342708,0.3316657326499786,0.07818870251656375,0.4926965523905529,0.1134581884811654,0.09312807341615147,0.068641058494553,0.044232537150024245,0.031808877048212336,0.02321567429413979
11,2005-2009,Brighton Park,725.0,19.0,3447.0,4084.0,2287.0,880.0,684.0,190.0,37593.37793,17731.0,2864.0,44148.0,3625.0,37203.0,568.0,2718.0,44050.0,0.06156564283772764,0.012865814985956328,0.8426882304974178,0.08211017486635862,0.06487270091510375,0.40162634773942196,0.07807828214188638,0.09250702183564374,0.05180302618465163,0.019932952795143608,0.015493340581679805,0.004303705717133279
