,Year,Community Area,ID,Date,Primary Type,Description,Location Description,District,Ward,Location
67,2002,1.0,278,278,278,278,278,278,278,266
68,2002,2.0,144,144,144,144,144,144,144,140
69,2002,3.0,202,202,202,202,202,202,202,194
70,2002,4.0,63,63,63,63,63,63,63,60
71,2002,5.0,72,72,72,72,72,72,72,70
72,2002,6.0,286,286,286,286,286,286,286,275
73,2002,7.0,182,182,182,182,182,182,182,172
74,2002,8.0,332,332,332,332,332,332,332,312
75,2002,9.0,1,1,1,1,1,1,1,1
76,2002,10.0,12,12,12,12,12,12,12,12
77,2002,11.0,26,26,26,26,26,26,26,25
78,2002,12.0,9,9,9,9,9,9,9,8
79,2002,13.0,13,13,13,13,13,13,13,13
80,2002,14.0,100,100,100,100,100,100,100,99
81,2002,15.0,115,115,115,115,115,115,115,111
82,2002,16.0,115,115,115,115,115,115,115,114
83,2002,17.0,36,36,36,36,36,36,36,35
84,2002,18.0,30,30,30,30,30,30,30,30
85,2002,19.0,236,236,236,236,236,236,236,229
86,2002,20.0,100,100,100,100,100,100,100,99
87,2002,21.0,181,181,181,181,181,181,181,178
88,2002,22.0,375,375,375,375,375,375,375,360
89,2002,23.0,528,528,528,528,528,528,528,500
90,2002,24.0,462,462,462,462,462,462,462,444
91,2002,25.0,879,879,879,879,879,879,879,829
92,2002,26.0,306,306,306,306,306,306,306,284
93,2002,27.0,303,303,303,303,303,303,303,281
94,2002,28.0,415,415,415,415,415,415,415,389
95,2002,29.0,437,437,437,437,437,437,437,416
96,2002,30.0,357,357,357,357,357,357,357,346
97,2002,31.0,116,116,116,116,116,116,116,114
98,2002,32.0,145,145,145,145,145,145,145,139
99,2002,33.0,84,84,84,84,84,84,84,78
100,2002,34.0,58,58,58,58,58,58,58,54
101,2002,35.0,178,178,178,178,178,178,178,171
102,2002,36.0,22,22,22,22,22,22,22,21
103,2002,37.0,49,49,49,49,49,49,49,49
104,2002,38.0,292,292,292,292,292,292,292,287
105,2002,39.0,80,80,80,80,80,80,80,77
106,2002,40.0,236,236,236,236,236,236,236,228
107,2002,41.0,129,129,129,129,129,129,129,120
108,2002,42.0,255,255,255,255,255,255,255,255
109,2002,43.0,505,505,505,505,505,505,505,494
110,2002,44.0,410,410,410,410,410,410,410,405
111,2002,45.0,121,121,121,121,121,121,121,117
112,2002,46.0,271,271,271,271,271,271,271,268
113,2002,47.0,7,7,7,7,7,7,7,7
114,2002,48.0,94,94,94,94,94,94,94,92
115,2002,49.0,368,368,368,368,368,368,368,363
116,2002,50.0,47,47,47,47,47,47,47,45
117,2002,51.0,74,74,74,74,74,74,74,73
118,2002,52.0,28,28,28,28,28,28,28,27
119,2002,53.0,216,216,216,216,216,216,216,211
120,2002,54.0,56,56,56,56,56,56,56,56
121,2002,55.0,6,6,6,6,6,6,6,6
122,2002,56.0,125,125,125,125,125,125,125,121
123,2002,57.0,41,41,41,41,41,41,41,39
124,2002,58.0,131,131,131,131,131,131,131,129
125,2002,59.0,40,40,40,40,40,40,40,37
126,2002,60.0,36,36,36,36,36,36,36,34
127,2002,61.0,368,368,368,368,368,368,368,353
128,2002,62.0,46,46,46,46,46,46,46,46
129,2002,63.0,156,156,156,156,156,156,156,152
130,2002,64.0,16,16,16,16,16,16,16,16
131,2002,65.0,56,56,56,56,56,56,56,56
132,2002,66.0,404,404,404,404,404,404,404,393
133,2002,67.0,405,405,405,405,405,405,405,400
134,2002,68.0,421,421,421,421,421,421,421,410
135,2002,69.0,508,508,508,508,508,508,508,495
136,2002,70.0,144,144,144,144,144,144,144,134
137,2002,71.0,375,375,375,375,375,375,375,368
138,2002,72.0,41,41,41,41,41,41,41,41
139,2002,73.0,174,174,174,174,174,174,174,166
140,2002,74.0,10,10,10,10,10,10,10,10
141,2002,75.0,93,93,93,93,93,93,93,89
142,2002,76.0,4,4,4,4,4,4,2,4
143,2002,77.0,139,139,139,139,139,139,139,134
144,2003,1.0,385,385,385,385,385,385,385,382
145,2003,2.0,162,162,162,162,162,162,162,160
146,2003,3.0,230,230,230,230,230,230,230,228
147,2003,4.0,105,105,105,105,105,105,105,103
148,2003,5.0,73,73,73,73,73,73,73,72
149,2003,6.0,298,298,298,298,298,298,298,295
150,2003,7.0,213,213,213,213,213,213,213,211
151,2003,8.0,373,373,373,373,373,373,373,368
152,2003,9.0,2,2,2,2,2,2,2,2
153,2003,10.0,9,9,9,9,9,9,9,9
154,2003,11.0,29,29,29,29,29,29,29,29
155,2003,12.0,9,9,9,9,9,9,9,9
156,2003,13.0,29,29,29,29,29,29,29,29
157,2003,14.0,166,166,166,166,166,166,166,165
158,2003,15.0,168,168,168,168,168,168,168,168
159,2003,16.0,162,162,162,162,162,162,162,162
160,2003,17.0,46,46,46,46,46,46,46,46
161,2003,18.0,23,23,23,23,23,23,23,23
162,2003,19.0,341,341,341,341,341,341,341,341
163,2003,20.0,124,124,124,124,124,124,124,124
164,2003,21.0,267,267,267,267,267,267,267,267
165,2003,22.0,455,455,455,455,455,455,455,453
166,2003,23.0,564,564,564,564,564,564,564,561
167,2003,24.0,562,562,562,562,562,562,562,558
168,2003,25.0,1258,1258,1258,1258,1258,1258,1258,1248
169,2003,26.0,348,348,348,348,348,348,348,344
170,2003,27.0,340,340,340,340,340,340,340,338
171,2003,28.0,464,464,464,464,464,464,464,460
172,2003,29.0,520,520,520,520,520,520,520,518
173,2003,30.0,384,384,384,384,384,384,384,383
174,2003,31.0,158,158,158,158,158,158,158,156
175,2003,32.0,159,159,159,159,159,159,159,155
176,2003,33.0,93,93,93,93,93,93,93,93
177,2003,34.0,78,78,78,78,78,78,78,77
178,2003,35.0,242,242,242,242,242,242,242,240
179,2003,36.0,27,27,27,27,27,27,27,27
180,2003,37.0,68,68,68,68,68,68,68,67
181,2003,38.0,391,391,391,391,391,391,391,390
182,2003,39.0,101,101,101,101,101,101,101,101
183,2003,40.0,246,246,246,246,246,246,246,246
184,2003,41.0,187,187,187,187,187,187,187,184
185,2003,42.0,316,316,316,316,316,316,316,316
186,2003,43.0,645,645,645,645,645,645,645,643
