,CCA_name,Year,crimes,coffeeshops
0,Albany Park,2002.0,100.0,11.0
1,Albany Park,2003.0,166.0,12.0
2,Albany Park,2004.0,161.0,17.0
3,Albany Park,2005.0,148.0,21.0
4,Albany Park,2006.0,134.0,20.0
5,Albany Park,2007.0,135.0,23.0
6,Albany Park,2008.0,116.0,4.0
7,Albany Park,2009.0,112.0,23.0
8,Albany Park,2010.0,130.0,8.0
9,Albany Park,2011.0,129.0,20.0
10,Albany Park,2012.0,119.0,2.0
11,Albany Park,2013.0,129.0,17.0
12,Albany Park,2014.0,96.0,2.0
13,Albany Park,2015.0,75.0,20.0
14,Albany Park,2016.0,169.0,8.0
15,Albany Park,2017.0,145.0,16.0
16,Albany Park,2018.0,136.0,6.0
17,Albany Park,2019.0,76.0,22.0
18,Albany Park,2020.0,90.0,9.0
19,Albany Park,2021.0,47.0,15.0
20,Archer Heights,2002.0,41.0,13.727272727272727
21,Archer Heights,2003.0,69.0,12.454545454545455
22,Archer Heights,2004.0,57.0,11.181818181818182
23,Archer Heights,2005.0,59.0,9.90909090909091
24,Archer Heights,2006.0,88.0,8.636363636363637
25,Archer Heights,2007.0,43.0,7.363636363636363
26,Archer Heights,2008.0,57.0,6.090909090909092
27,Archer Heights,2009.0,55.0,4.818181818181818
28,Archer Heights,2010.0,65.0,3.545454545454545
29,Archer Heights,2011.0,53.0,2.2727272727272734
30,Archer Heights,2012.0,69.0,1.0
31,Archer Heights,2013.0,53.0,1.0
32,Archer Heights,2014.0,33.0,1.0
33,Archer Heights,2015.0,44.0,1.5
34,Archer Heights,2016.0,29.0,2.0
35,Archer Heights,2017.0,33.0,1.5
36,Archer Heights,2018.0,29.0,1.0
37,Archer Heights,2019.0,11.0,1.5
38,Archer Heights,2020.0,30.0,2.0
39,Archer Heights,2021.0,27.0,1.0
40,Armour Square,2002.0,58.0,9.0
41,Armour Square,2003.0,78.0,7.0
42,Armour Square,2004.0,84.0,8.0
43,Armour Square,2005.0,121.0,13.0
44,Armour Square,2006.0,67.0,8.0
45,Armour Square,2007.0,58.0,12.0
46,Armour Square,2008.0,73.0,13.0
47,Armour Square,2009.0,75.0,2.0
48,Armour Square,2010.0,82.0,13.0
49,Armour Square,2011.0,86.0,1.0
50,Armour Square,2012.0,79.0,10.0
51,Armour Square,2013.0,54.0,1.0
52,Armour Square,2014.0,75.0,11.0
53,Armour Square,2015.0,106.0,3.0
54,Armour Square,2016.0,111.0,6.0
55,Armour Square,2017.0,98.0,5.0
56,Armour Square,2018.0,53.0,8.0
57,Armour Square,2019.0,73.0,6.0
58,Armour Square,2020.0,72.0,6.0
59,Armour Square,2021.0,82.0,5.0
60,Ashburn,2002.0,144.0,3.0
61,Ashburn,2003.0,167.0,1.0
62,Ashburn,2004.0,180.0,1.0
63,Ashburn,2005.0,191.0,1.0
64,Ashburn,2006.0,232.0,1.0
65,Ashburn,2007.0,216.0,1.0
66,Ashburn,2008.0,203.0,1.0
67,Ashburn,2009.0,168.0,1.0
68,Ashburn,2010.0,149.0,1.0
69,Ashburn,2011.0,131.0,1.0
70,Ashburn,2012.0,130.0,1.0
71,Ashburn,2013.0,139.0,1.0
72,Ashburn,2014.0,85.0,1.0
73,Ashburn,2015.0,87.0,1.0
74,Ashburn,2016.0,135.0,1.0
75,Ashburn,2017.0,117.0,1.0
76,Ashburn,2018.0,103.0,1.0
77,Ashburn,2019.0,74.0,1.0
78,Ashburn,2020.0,57.0,1.0
79,Ashburn,2021.0,40.0,1.0
80,Auburn Gresham,2002.0,375.0,1.0
81,Auburn Gresham,2003.0,575.0,1.0
82,Auburn Gresham,2004.0,579.0,1.25
83,Auburn Gresham,2005.0,602.0,1.5
84,Auburn Gresham,2006.0,597.0,1.75
85,Auburn Gresham,2007.0,610.0,2.0
86,Auburn Gresham,2008.0,706.0,2.0
87,Auburn Gresham,2009.0,666.0,2.0
88,Auburn Gresham,2010.0,477.0,1.0
89,Auburn Gresham,2011.0,487.0,1.5
90,Auburn Gresham,2012.0,444.0,2.0
91,Auburn Gresham,2013.0,493.0,2.0
92,Auburn Gresham,2014.0,393.0,2.0
93,Auburn Gresham,2015.0,382.0,2.0
94,Auburn Gresham,2016.0,411.0,1.0
95,Auburn Gresham,2017.0,377.0,2.0
96,Auburn Gresham,2018.0,327.0,3.0
97,Auburn Gresham,2019.0,281.0,5.0
98,Auburn Gresham,2020.0,203.0,5.0
99,Auburn Gresham,2021.0,158.0,3.0
100,Austin,2002.0,879.0,3.0
101,Austin,2003.0,1258.0,3.0
102,Austin,2004.0,1099.0,9.0
103,Austin,2005.0,1131.0,10.0
104,Austin,2006.0,1116.0,12.0
105,Austin,2007.0,1051.0,8.0
106,Austin,2008.0,1189.0,6.0
107,Austin,2009.0,1299.0,4.0
108,Austin,2010.0,1239.0,6.0
109,Austin,2011.0,1120.0,3.0
110,Austin,2012.0,1010.0,3.0
111,Austin,2013.0,776.0,2.0
112,Austin,2014.0,795.0,2.0
113,Austin,2015.0,821.0,7.0
114,Austin,2016.0,944.0,4.0
115,Austin,2017.0,913.0,11.0
116,Austin,2018.0,834.0,7.0
117,Austin,2019.0,659.0,17.0
118,Austin,2020.0,758.0,8.0
119,Austin,2021.0,477.0,18.0
120,Avalon Park,2002.0,121.0,1.0
121,Avalon Park,2003.0,135.0,1.0
122,Avalon Park,2004.0,118.0,1.0
123,Avalon Park,2005.0,120.0,1.0
124,Avalon Park,2006.0,104.0,1.0
125,Avalon Park,2007.0,125.0,1.0
126,Avalon Park,2008.0,165.0,1.0
127,Avalon Park,2009.0,149.0,1.0
128,Avalon Park,2010.0,104.0,1.0
129,Avalon Park,2011.0,139.0,1.0
130,Avalon Park,2012.0,115.0,1.0
131,Avalon Park,2013.0,86.0,1.0
132,Avalon Park,2014.0,91.0,1.0
133,Avalon Park,2015.0,67.0,1.0
134,Avalon Park,2016.0,71.0,1.0
135,Avalon Park,2017.0,69.0,1.0
136,Avalon Park,2018.0,41.0,1.0
137,Avalon Park,2019.0,31.0,1.0
138,Avalon Park,2020.0,47.0,1.5
139,Avalon Park,2021.0,45.0,2.0
140,Avondale,2002.0,181.0,7.0
141,Avondale,2003.0,267.0,7.0
142,Avondale,2004.0,206.0,6.0
143,Avondale,2005.0,150.0,6.0
144,Avondale,2006.0,221.0,8.0
145,Avondale,2007.0,151.0,10.0
146,Avondale,2008.0,145.0,9.0
147,Avondale,2009.0,192.0,10.0
148,Avondale,2010.0,122.0,7.0
149,Avondale,2011.0,108.0,2.0
150,Avondale,2012.0,115.0,4.0
151,Avondale,2013.0,115.0,2.0
152,Avondale,2014.0,75.0,4.0
153,Avondale,2015.0,91.0,4.0
154,Avondale,2016.0,87.0,6.0
155,Avondale,2017.0,111.0,5.0
156,Avondale,2018.0,104.0,11.0
157,Avondale,2019.0,81.0,7.0
158,Avondale,2020.0,86.0,9.0
159,Avondale,2021.0,49.0,8.0
160,Belmont Cragin,2002.0,236.0,11.0
161,Belmont Cragin,2003.0,341.0,15.0
162,Belmont Cragin,2004.0,295.0,15.0
163,Belmont Cragin,2005.0,283.0,14.0
164,Belmont Cragin,2006.0,251.0,14.0
165,Belmont Cragin,2007.0,238.0,20.0
166,Belmont Cragin,2008.0,308.0,5.0
167,Belmont Cragin,2009.0,307.0,17.0
168,Belmont Cragin,2010.0,294.0,3.0
169,Belmont Cragin,2011.0,293.0,19.0
170,Belmont Cragin,2012.0,212.0,3.0
171,Belmont Cragin,2013.0,168.0,11.0
172,Belmont Cragin,2014.0,153.0,3.0
173,Belmont Cragin,2015.0,159.0,15.0
174,Belmont Cragin,2016.0,196.0,3.0
175,Belmont Cragin,2017.0,180.0,12.0
176,Belmont Cragin,2018.0,165.0,7.0
177,Belmont Cragin,2019.0,135.0,20.0
178,Belmont Cragin,2020.0,97.0,6.0
179,Belmont Cragin,2021.0,70.0,23.0
180,Beverly,2002.0,41.0,1.0
181,Beverly,2003.0,56.0,1.0
182,Beverly,2004.0,50.0,2.0
183,Beverly,2005.0,79.0,1.0
184,Beverly,2006.0,76.0,3.0
185,Beverly,2007.0,50.0,4.0
186,Beverly,2008.0,48.0,3.0
187,Beverly,2009.0,34.0,5.0
188,Beverly,2010.0,24.0,2.0
189,Beverly,2011.0,43.0,6.0
190,Beverly,2012.0,45.0,1.0
191,Beverly,2013.0,57.0,6.0
192,Beverly,2014.0,24.0,3.0
193,Beverly,2015.0,20.0,5.0
194,Beverly,2016.0,22.0,5.5
195,Beverly,2017.0,24.0,6.0
196,Beverly,2018.0,12.0,1.0
197,Beverly,2019.0,15.0,5.0
198,Beverly,2020.0,29.0,3.0
199,Beverly,2021.0,13.0,7.0
200,Bridgeport,2002.0,36.0,6.0
201,Bridgeport,2003.0,47.0,9.0
202,Bridgeport,2004.0,44.0,8.0
203,Bridgeport,2005.0,81.0,8.0
204,Bridgeport,2006.0,61.0,7.0
205,Bridgeport,2007.0,44.0,12.0
206,Bridgeport,2008.0,55.0,2.0
207,Bridgeport,2009.0,26.0,7.0
208,Bridgeport,2010.0,55.0,1.0
209,Bridgeport,2011.0,67.0,9.0
210,Bridgeport,2012.0,48.0,3.0
211,Bridgeport,2013.0,36.0,9.0
212,Bridgeport,2014.0,43.0,4.0
213,Bridgeport,2015.0,44.0,8.0
214,Bridgeport,2016.0,74.0,5.0
215,Bridgeport,2017.0,56.0,6.0
216,Bridgeport,2018.0,34.0,5.0
217,Bridgeport,2019.0,18.0,6.0
218,Bridgeport,2020.0,44.0,5.0
219,Bridgeport,2021.0,42.0,5.0
220,Brighton Park,2002.0,131.0,4.2
221,Brighton Park,2003.0,212.0,3.4
222,Brighton Park,2004.0,155.0,2.5999999999999996
223,Brighton Park,2005.0,161.0,1.7999999999999998
224,Brighton Park,2006.0,153.0,1.0
225,Brighton Park,2007.0,140.0,1.0
226,Brighton Park,2008.0,143.0,1.0
227,Brighton Park,2009.0,128.0,1.0
228,Brighton Park,2010.0,122.0,2.0
229,Brighton Park,2011.0,140.0,3.0
